"Rank","Authors (First author et al.)","Year","Title","Source title (Journal)","DOI","EID","Global Citations (Scopus)","Citations/Year (CPY)"
1,"HUDSON et al.",2015,"THE EFFECTS OF SOCIAL MEDIA ON EMOTIONS, BRAND RELATIONSHIP QUALITY, AND WORD OF MOUTH: AN EMPIRICAL STUDY OF MUSIC FESTIVAL ATTENDEES","TOURISM MANAGEMENT","10.1016/J.TOURMAN.2014.09.001","",406,36.9091
2,"MEHMETOGLU et al.",2011,"PINE AND GILMORE'S CONCEPT OF EXPERIENCE ECONOMY AND ITS DIMENSIONS: AN EMPIRICAL EXAMINATION IN TOURISM","JOURNAL OF QUALITY ASSURANCE IN HOSPITALITY AND TOURISM","10.1080/1528008X.2011.541847","",329,21.9333
3,"NICHOLSON et al.",2001,"WHY DO PEOPLE ATTEND EVENTS: A COMPARATIVE ANALYSIS OF VISITOR MOTIVATIONS AT FOUR SOUTH ISLAND EVENTS","JOURNAL OF TRAVEL RESEARCH","10.1177/004728750103900412","",298,11.92
4,"GIBSON et al.",2004,"TAMWORTH, AUSTRALIA'S 'COUNTRY MUSIC CAPITAL': PLACE MARKETING, RURALITY, AND RESIDENT REACTIONS","JOURNAL OF RURAL STUDIES","10.1016/J.JRURSTUD.2004.03.001","",188,8.5455
5,"ANDERSSON et al.",2013,"COMMENSURABILITY AND SUSTAINABILITY: TRIPLE IMPACT ASSESSMENTS OF A TOURISM EVENT","TOURISM MANAGEMENT","10.1016/J.TOURMAN.2012.12.015","",169,13
6,"WAITT et al.",2010,"LISTENING AND TOURISM STUDIES","ANNALS OF TOURISM RESEARCH","10.1016/J.ANNALS.2009.10.017","",119,7.4375
7,"MAIR et al.",2012,"THE GREENING OF MUSIC FESTIVALS: MOTIVATIONS, BARRIERS AND OUTCOMES. APPLYING THE MAIR AND JAGO MODEL","JOURNAL OF SUSTAINABLE TOURISM","10.1080/09669582.2011.636819","",117,8.3571
8,"GETZ et al.",2009,"SUSTAINABLE FESTIVALS: ON BECOMING AN INSTITUTION","EVENT MANAGEMENT","10.3727/152599509787992625","",115,6.7647
9,"DAVIS et al.",2016,"EXPERIENTIAL PLACES OR PLACES OF EXPERIENCE? PLACE IDENTITY AND PLACE ATTACHMENT AS MECHANISMS FOR CREATING FESTIVAL ENVIRONMENT","TOURISM MANAGEMENT","10.1016/J.TOURMAN.2016.01.006","",114,11.4
10,"SZMIGIN et al.",2017,"SOCIO-SPATIAL AUTHENTICITY AT CO-CREATED MUSIC FESTIVALS","ANNALS OF TOURISM RESEARCH","10.1016/J.ANNALS.2016.12.007","",98,10.8889
11,"JIANG et al.",2015,"IMPACTS OF EMERGING CONTAMINANTS ON SURROUNDING AQUATIC ENVIRONMENT FROM A YOUTH FESTIVAL","ENVIRONMENTAL SCIENCE AND TECHNOLOGY","10.1021/ES503944E","",97,8.8182
12,"GIBSON et al.",2007,"MUSIC, TOURISM AND THE TRANSFORMATION OF MEMPHIS","TOURISM GEOGRAPHIES","10.1080/14616680701278505","",92,4.8421
13,"WU et al.",2020,"LIMINALITY AND FESTIVALS—INSIGHTS FROM THE EAST","ANNALS OF TOURISM RESEARCH","10.1016/J.ANNALS.2019.102810","",84,14
14,"PODOSHEN et al.",2015,"DYSTOPIAN DARK TOURISM: AN EXPLORATORY EXAMINATION","TOURISM MANAGEMENT","10.1016/J.TOURMAN.2015.05.002","",83,7.5455
15,"GELDER et al.",2009,"A CRITICAL COMPARATIVE STUDY OF VISITOR MOTIVATIONS FOR ATTENDING MUSIC FESTIVALS: A CASE STUDY OF GLASTONBURY AND V FESTIVAL","EVENT MANAGEMENT","10.3727/152599509790029792","",83,4.8824
16,"NICHOLSON et al.",2000,"WHO GOES TO EVENTS: A COMPARATIVE ANALYSIS OF THE PROFILE CHARACTERISTICS OF VISITORS TO FOUR SOUTH ISLAND EVENTS IN NEW ZEALAND","JOURNAL OF VACATION MARKETING","10.1177/135676670000600304","",82,3.1538
17,"TOHMO et al.",2005,"ECONOMIC IMPACTS OF CULTURAL EVENTS ON LOCAL ECONOMIES: AN INPUT-OUTPUT ANALYSIS OF THE KAUSTINEN FOLK MUSIC FESTIVAL","TOURISM ECONOMICS","10.5367/000000005774352980","",81,3.8571
